,Surname,Name,Height,Boulder1,Boulder2,Boulder3,Boulder4,Boulder,Lead,Total
0,GARNBRET,Janja,1.64,25.0,25.0,24.9,24.7,99.6,96.1,195.7
1,PILZ,Jessica,1.65,9.8,10.0,24.5,24.5,68.8,88.1,156.9
2,RABOUTOU,Brooke,1.57,24.4,24.9,9.8,24.6,83.7,72.1,155.8
3,MORI,Ai,1.54,0.0,24.6,4.7,24.7,54.0,96.1,150.1
4,BERTONE,Oriane,1.64,24.9,24.9,25.0,9.7,84.5,45.1,129.6
5,MACKENZIE,Oceania,1.73,25.0,24.9,24.8,4.9,79.6,45.1,124.7
6,McNEICE,Erin,1.65,5.0,24.7,24.9,5.0,59.6,64.1,123.7
7,SEO,Chaehyun,1.64,5.0,24.8,9.7,4.7,44.2,72.1,116.3
8,NONAKA,Miho,1.62,24.8,24.6,10.0,5.0,64.4,51.1,115.5
9,LUO,Zhilu,1.61,4.8,24.9,9.4,24.5,63.6,48.1,111.7
10,GROSSMAN,Natalia,1.61,9.8,25.0,9.8,24.6,69.2,39.1,108.3
11,MORONI,Camilla,1.58,5.0,24.5,10.0,24.5,64.0,36.1,100.1
12,ZHANG,Yuetong,1.63,4.8,10.0,10.0,4.9,29.7,68.0,97.7
13,AVEZOU,Zelia,1.58,4.7,24.7,10.0,9.9,49.3,45.1,94.4
14,KAZBEKOVA,levgeniia,1.64,4.9,24.8,5.0,4.8,39.5,45.1,84.6
15,DOERFFEL,Lucia,1.66,5.0,9.7,9.8,4.7,29.2,51.1,80.3
16,KRAMPL,Mia,1.63,4.6,9.9,9.7,4.2,28.4,51.1,79.5
17,ROGORA,Laura,1.53,0.0,4.4,5.0,3.8,13.2,57.1,70.3
18,THOMPSON-SMITH,Molly,1.57,0.0,4.8,5.0,0.0,9.8,57.0,66.8
19,MUKHEIBIR,Lauren,1.6,0.0,0.0,0.0,0.0,0.0,4.1,4.1
